date,oil_price
2017-07-10,39.0564
2017-07-09,38.9578
2017-07-08,38.8877
2017-07-07,38.8152
2017-07-06,39.9574
2017-07-05,40.2041
2017-07-04,41.4617
2017-07-03,41.1737
2017-07-02,40.5088
2017-07-01,40.5481
2017-06-30,40.4923
2017-06-29,39.4947
2017-06-28,39.5418
2017-06-27,39.1796
2017-06-26,38.8287
2017-06-25,38.6004
2017-06-24,38.5245
2017-06-23,38.6733
2017-06-22,38.3319
2017-06-21,38.2888
2017-06-20,38.9491
2017-06-19,39.6668
2017-06-18,40.0575
2017-06-17,40.1155
2017-06-16,40.2998
2017-06-15,39.7729
2017-06-14,39.8753
2017-06-13,41.0599
2017-06-12,41.1407
2017-06-11,41.0542
2017-06-10,41.0318
2017-06-09,41.0057
2017-06-08,40.5908
2017-06-07,40.6316
2017-06-06,42.6395
2017-06-05,42.0622
2017-06-04,42.2712
2017-06-03,42.3377
2017-06-02,42.5795
2017-06-01,42.7936
2017-05-31,43.6695
2017-05-30,44.4962
2017-05-29,44.629
2017-05-28,44.6285
2017-05-27,44.5837
2017-05-26,44.454
2017-05-25,43.5616
2017-05-24,46.056
2017-05-23,45.7749
2017-05-22,45.6139
2017-05-21,45.609
2017-05-20,45.3948
2017-05-19,45.8004
2017-05-18,44.4922
2017-05-17,44.5619
2017-05-16,43.9616
2017-05-15,44.7608
2017-05-14,43.6938
2017-05-13,43.7761
2017-05-12,44.0491
2017-05-11,44.0026
2017-05-10,43.54
2017-05-09,42.217
2017-05-08,42.3347
2017-05-07,42.2806
2017-05-06,42.2806
2017-05-05,42.3398
2017-05-04,41.8144
2017-05-03,43.578
2017-05-02,44.0512
2017-05-01,44.6911
2017-04-30,45.1279
2017-04-29,45.1554
2017-04-28,45.2567
2017-04-27,45.0599
2017-04-26,45.1359
2017-04-25,45.3877
2017-04-24,45.291
2017-04-23,46.4288
2017-04-22,46.2704
2017-04-21,46.3283
2017-04-20,47.3987
2017-04-19,47.583
2017-04-18,49.5554
2017-04-17,50.1323
2017-04-16,49.9077
2017-04-15,49.8653
2017-04-14,49.8486
2017-04-13,49.614
2017-04-12,49.9253
2017-04-11,50.3601
2017-04-10,50.1461
2017-04-09,49.6196
2017-04-08,49.4233
2017-04-07,49.4233
2017-04-06,48.591
2017-04-05,47.7471
2017-04-04,47.8691
2017-04-03,47.131
2017-04-02,47.429
2017-04-02,47.429
2017-04-01,47.6926
2017-03-31,47.6926
2017-03-30,47.0356
2017-03-29,46.0466
2017-03-29,46.0606
2017-03-28,44.8514
2017-03-27,44.0444
2017-03-26,44.4006
2017-03-25,44.5597
2017-03-24,44.5597
2017-03-23,44.3128
2017-03-22,44.7363
2017-03-22,44.7177
2017-03-21,44.4829
2017-03-20,45.6135
2017-03-19,45.7674
2017-03-18,45.8512
2017-03-17,45.8512
2017-03-16,45.7808
2017-03-15,45.7145
2017-03-14,45.6786
2017-03-14,45.6692
2017-03-13,45.3998
2017-03-12,44.9455
2017-03-11,45.3236
2017-03-10,45.3236
2017-03-09,46.8465
2017-03-09,46.8654
2017-03-08,47.7524
2017-03-07,50.0255
2017-03-06,50.2471
2017-03-05,50.1644
2017-03-04,50.0919
2017-03-03,50.0919
2017-03-02,50.1426
2017-03-01,50.9884
2017-02-28,51.0157
2017-02-27,51.0778
2017-02-26,51.169
2017-02-25,51.1276
2017-02-24,51.1276
2017-02-23,51.3651
2017-02-22,51.1836
2017-02-21,51.525
2017-02-20,50.8673
2017-02-19,50.619
2017-02-18,50.6117
2017-02-17,50.6117
2017-02-16,50.3984
2017-02-15,50.4636
2017-02-14,50.1545
2017-02-13,50.0128
2017-02-12,50.7157
2017-02-11,50.5957
2017-02-10,50.5957
2017-02-09,49.7884
2017-02-08,49.0882
2017-02-07,48.0111
2017-02-06,49.4975
2017-02-05,50.0016
2017-02-04,49.9376
2017-02-03,49.9376
2017-02-02,50.0432
2017-02-01,49.7317
2017-01-31,48.8672
2017-01-30,49.1621
2017-01-29,49.4383
2017-01-28,49.6708
2017-01-27,49.6708
2017-01-26,50.3076
2017-01-25,49.3091
2017-01-24,49.388
2017-01-23,49.1432
2017-01-22,49.7547
2017-01-21,49.7449
